,0
581,Elixir
582,GraphQL APIs
583,Absinthe
584,GraphQL
585,subscriptions
586,startups
587,esports
588,(Primarily Elixir/Phoenix/LiveView
589,Ruby
590,Rails
591,amazing GraphQL
592,RESTful APIs
593,modern JavaScript technologies
594,strong competencies
595,algorithms
596,software craftsmanship
597,Ruby
598,Rails
599,Sinatra
600,Django
601,Node
602,A strong grasp
603,PostgreSQL
604,MySQL
605,Exq
606,Sidekiq
607,Celery
608,Beanstalk
609,RabbitMQ
610,Kafka
611,testing frameworks
612,ExUnit
613,RSpec
614,Jest
615,pytest
616,familiarity
617,third party APIs
618,Elixir
619,GraphQL APIs
620,Absinthe
621,GraphQL
622,subscriptions
623,startups
624,esports
625,(Primarily Elixir/Phoenix
626,LiveView
627,Ruby
628,Rails
629,amazing GraphQL
630,RESTful APIs
631,Willingness
632,modern JavaScript technologies
633,strong competencies
634,algorithms
635,software craftsmanship
636,Ruby
637,Rails
638,Sinatra
639,Django
640,Node
641,A strong grasp
642,PostgreSQL
643,MySql
644,Exq
645,Sidekiq
646,Celery
647,Beanstalk
648,Kafka
649,RabbitMQ
650,testing frameworks
651,ExUnit
652,RSpec
653,Jest
654,pytest
655,familiarity
656,third party APIs
657,Elixir
658,GraphQL APIs
659,Absinthe
660,GraphQL
661,subscriptions
662,startups
663,esports
664,backend systems
665,e.g. Postgres
666,MySQL
667,"e.g. ClickHouse, Druid"
668,InfluxDB
669,Prometheus
670,a cohesive team
671,Kafka
672,mastery
673,ReactJS
674,complete front-end stack
675,CSS
676, Bachelor's degree
677,both custom web/mobile application development & commercial software systems implementations
678,QA
679,React JS
680,Redux
681,modular CSS
682, Familiarity
683,REST APIs
684,Jest
685,Mocha
686,Jenkins
687,BDD/TDD
688, Familiarity
689,Mocha
690,Karma
691,Jest
692,reliability
693,game reliability issues
694,a Final Gatekeeper
695,hotfixes
696,service outages
697,Scripting
698,Python
699,Ruby
700,Grafana
701,NewRelic
702,InfluxDB
703,Prometheus
704,Stackdriver
705,Sumo Logic
706,CloudWatch
707,distributed Database systems
708,MongoDB
709,BS/MS
710,Docker
711,a RESTful API system
712,Perforce
713,node.js
714,stakeholders
715,specialized software engineering experience
716,Buck/Bazel
717,diverse scope
718,identifiable factors
719,precedent
720,Golang
721,"scalable, high availability services"
722,AWS technologies
723,Python
724,Docker
725,Kafka
726, Building low latency
727,REST/GraphQL
728,application-appropriate persistence systems
729,robustness
730,scalability
731,timely resolution
732,Microservices
733,Micronaut
734,Quarkus
735,low-latency systems
736,Kafka
737,FaaS
738,bugfixes
739,plugins
740,the Terraform ecosystem
741,architectures
742,the Terraform CLI
743,Golang
744,mentorship
745,"large, complex codebases"
746,a Terraform practitioner
747,the Go programing language
748,curiosity
749,ML techniques
750,", data discretization"
751,normalization
752,sampling
753,linear regression
754,SVMs
755,deep neural networks
756,Familiarity
757,one or more deep learning software frameworks
758,Tensorflow
759,PyTorch
760,Entrepreneurial and positive attitude
761,Fortune 500 companies
762,Bachelor's degree
763,an accredited university
764,DNS
765,an ever evolving workplace
766,Genuine excitement
767,CCNA
768,CCDA
769,CCNP
770,MCSE
771,CEH
772,Microsoft Azure
773,CISSP
774,CSP
775,Python
776,Linux systems
777,other quantitative discipline
778,ML techniques
779,e.g. data discretization
780,normalization
781,sampling
782,linear regression
783,deep neural networks
784,bandits
785,an intuition
786,Familiarity
787,one or more DL software frameworks
788,Tensorflow
789,PyTorch
790,haves
791,learningPrediction / Inference
792,customizations
793,NetSuite
794,system integrations
795,Avalara
796,homegrown systems
797,stakeholders
798,the smooth functioning
799,stakeholders
800,scalability
801,existing sub-optimal features
802,completeness
803,Oracle
804,NetSuite
805,fundamental system integration concepts
806,production integrations
807,Salesforce.com
808,SuiteScript
809,SuiteFlows
810,deadlines
811,delays
812,ambiguous requirements
813,Exceptional communicator
814,NetSuite Administrator Certification
815,threading/concurrency
816,Proficiency
817,Golang
818,Python
819,Willingness
820,other specialists
821,high throughput systems
822,service scalability
823,reliability
824,Node.js ecosystem
825,message queues
826,RESTful APIs
827,Cloud environments
828,UIs
829,Mentor
830,TPM
831,tasking
832,cloud workspace
833,all phases
834,cloud drive / cloud workspaces
835,reliability
836,Golang
837,Node.js
838,Postgres
839,the latest iOS/Swift trends
840,certificates
841,Demonstrable understanding
842,Observance
843,Willingness
844,constructive criticism
845,Mobile Automation Testing
846,Fastlane
847,SwiftUI
848,Familiarity
849,debugging
850,TDD
851,Observance
852,Willingness
853,constructive criticism
854,RxJava/RxKotlin
855,Mobile Automation Testing
856,Jetpack Compose
857,Familiarity
858,Fastlane
859,Familiarity
860,debugging
861,TDD
862,Observance
863,Willingness
864,constructive criticism
865,RxJava/RxKotlin
866,Mobile Automation Testing
867,Jetpack Compose
868,Familiarity
869,Fastlane
870,Familiarity
871,debugging
872,TDD
873,estimation
874,an inclusive environment
875,all backgrounds
876,a service oriented architecture
877,reliability
878,reliability
879,resiliency
880,scalability
881,SLI
882,SLA
883,SLO
884, Augment instrumentation
885,a cohesive dependency mapping
886,TTR
887,Toil
888,oncall and triage rotation
889,containerization
890,"(e.g., Docker"
891, Familiarity
892,Elasticsearch
893,Kibana/Grafana
894,Logstash
895,kafka
896,automation systems
897,saltstack
898,(Quic
899,Real Time transaction protocols/methods
900,MQTT
901, Recommends
902,snoop
903,other network sniffers
904,UDP
905,Operability
906,Resilience
907,full region failover
908,stakeholders
909,the roadmap
910,mentorship
911,both organic growth and traffic spikes
912,other Cloud vendors
913, Familiarity
914,a growth mindset
915,oncall and triage rotation
916,observability/monitoring systems
917, Familiarity
918,Elasticsearch
919,Kibana
920,Logstash
921,automation systems
922,"ansible, puppet"
923,saltstack
924,python
925,ecosystem
926,Affirm's future growth
927,strict SLAs
928,Affirm
929,billions
930,the reliability
931,scalable data processing systems
932,-
933,scalable and efficient data processing systems
934,the network topologies
935,Golang
936,Familiarity
937,service-oriented architectures
938,Empathy
939,tradeoffs
940,the broader service mesh ecosystem
941,practitioners
942,Curiosity
943,Raft and Paxos variants
944,consistency
945,novel algorithms
946,Build and architect systems
947,Golang
948,mentorship
949,less experienced teammates
950,reusable white label systems
951,JIRA
952,TDDs
953,Bachelor’s Degree
954,#
955,changing deadlines
956,debugging
957,profiling
958,other devs
959,F2P games
960,minimal iterations
961,gameplay logic
962,modularity
963,extensibility
964,Obj-C
965,algorithms
966,minimal guidance
967,Exceptional problem solving
968,debugging skills
969,B.S.
970,gameplay logic
971,ugui/uitoolkit
972,modularity
973,extensibility
974,Obj-C
975,algorithms
976,minimal guidance
977,Exceptional problem solving
978,debugging skills
979,B.S.
980,WebSockets
981,JSON
982,Python
983,mentorship
984,less experienced teammates
985,reusable white label systems
986,JIRA
987,TDDs
988,Bachelor’s Degree
989,#
990,changing deadlines
991,debugging
992,profiling
993,other devs
994,F2P games
995,velocity
996,Mentor
997,Linux and Mac OSX operating systems
998,Jenkins
999,B.S.
1000,Python
1001,Perforce
1002,Subversion
1003,continuous integration systems
1004,preferably Jenkins
1005,Mac OSX
1006,preferably MySQL
1007,Lua
1008,PHP
1009,Obj-C
1010,Puppet
1011,Ansible
1012,the most impactful features
1013,blockchain backed game creation
1014,clear definitions
1015,Pragmatic approach
1016,Redux
1017,proactive involvement
1018,sass
1019,typescript
1020,sustainable patterns
1021,fluency
1022,GraphQL
1023,Node.js
1024,Fluency
1025,Vert.x
1026,service application frameworks
1027,kafka
1028,docker
1029,maven
1030,gradle
1031,dynamodb
1032,cassandra
1033,SEO teams
1034,Solana
1035,modern systems architectures
1036,Python
1037,its web server frameworks
1038,e.g. Flask
1039,Django
1040,Golang
1041,a demonstrable understanding
1042,data modeling
1043,Proficient understanding
1044,Apache NiFi.. Golang service best practices
1045,Redux
1046,Webpack
1047,ES6
1048,TypeScript
1049, 2+ years software QA experience
1050,python
1051,Unix-based operating systems
1052, Proficiency
1053,QA methodologies
1054,problem solver
1055,Python
1056,robust service orchestration
1057,Docker
1058,matchmaking
1059,experiment/data driven system enhancement
1060,adaptability
1061,the team’s microservices
1062,scalability
1063,the everlasting effort
1064,Java development experience
1065,Strong proficiency
1066,NodeJS
1067,large-scale production databases
1068,cloud services API
1069,foundational components
1070,the reliability
1071,scalability
1072,evolving software development
1073,Mentor
1074,Elixir
1075,Kafka
1076,gRPC
1077,RocksDB
1078,specifications
1079,indicators
1080,Frontend software development
1081,JS ecosystem
1082,(NPM/Yarn
1083,ES6
1084,SEO principles
1085,visibility
1086,(ITIL - Problem Management
1087,resiliency
1088,the occurrence
1089,client environments
1090,team mates
1091,microservices architecture
1092,", Docker"
1093,Terraform
1094,software development lifecycles
1095,Comprehensive systems hardware
1096,network troubleshooting experience
1097,NIC bonding and network services configuration
1098,(DNS
1099,NTP
1100,DHCP
1101,SMTP
1102,VMware
1103,Hyper-V
1104,KVM
1105,IaaS
1106,pros
1107,cons
1108,network load balancers
1109,Scripting
1110,python
1111,ruby
1112,at least one major configuration management framework
1113,i.e. Puppet
1114,Ansible
1115,troubleshooting
1116,switches
1117,NMS
1118,estimations
1119,visibility
1120,(ITIL - Problem Management
1121,resiliency
1122,the occurrence
1123,client environments
1124,team mates
1125,microservices architecture
1126,", Docker"
1127,Terraform
1128,software development lifecycles
1129,Comprehensive systems hardware
1130,network troubleshooting experience
1131,NIC bonding and network services configuration
1132,(DNS
1133,NTP
1134,DHCP
1135,SMTP
1136,VMware
1137,Hyper-V
1138,KVM
1139,IaaS
1140,pros
1141,cons
1142,network load balancers
1143,Scripting
1144,python
1145,ruby
1146,at least one major configuration management framework
1147,i.e. Puppet
1148,Ansible
1149,troubleshooting
1150,switches
1151,NMS
1152,estimations
1153,visibility
1154,(ITIL - Problem Management
1155,resiliency
1156,the occurrence
1157,client environments
1158,team mates
1159,microservices architecture
1160,", Docker"
1161,Terraform
1162,software development lifecycles
1163,Comprehensive systems hardware
1164,network troubleshooting experience
1165,NIC bonding and network services configuration
1166,(DNS
1167,NTP
1168,DHCP
1169,SMTP
1170,VMware
1171,Hyper-V
1172,KVM
1173,IaaS
1174,pros
1175,cons
1176,network load balancers
1177,Scripting
1178,python
1179,ruby
1180,at least one major configuration management framework
1181,i.e. Puppet
1182,Ansible
1183,troubleshooting
1184,switches
1185,NMS
1186,estimations
1187,visibility
1188,(ITIL - Problem Management
1189,resiliency
1190,the occurrence
1191,client environments
1192,team mates
1193,microservices architecture
1194,", Docker"
1195,Terraform
1196,software development lifecycles
1197,Comprehensive systems hardware
1198,network troubleshooting experience
1199,NIC bonding and network services configuration
1200,(DNS
1201,NTP
1202,DHCP
1203,SMTP
1204,VMware
1205,Hyper-V
1206,KVM
1207,IaaS
1208,pros
1209,cons
1210,network load balancers
1211,Scripting
1212,python
1213,ruby
1214,at least one major configuration management framework
1215,i.e. Puppet
1216,Ansible
1217,troubleshooting
1218,switches
1219,NMS
1220,estimations
1221,visibility
1222,(ITIL - Problem Management
1223,resiliency
1224,the occurrence
1225,client environments
1226,team mates
1227,microservices architecture
1228,", Docker"
1229,Terraform
1230,software development lifecycles
1231,Comprehensive systems hardware
1232,network troubleshooting experience
1233,NIC bonding and network services configuration
1234,(DNS
1235,NTP
1236,DHCP
1237,SMTP
1238,VMware
1239,Hyper-V
1240,KVM
1241,IaaS
1242,pros
1243,cons
1244,network load balancers
1245,Scripting
1246,python
1247,ruby
1248,at least one major configuration management framework
1249,i.e. Puppet
1250,Ansible
1251,troubleshooting
1252,switches
1253,NMS
1254,estimations
1255,visibility
1256,(ITIL - Problem Management
1257,resiliency
1258,the occurrence
1259,client environments
1260,team mates
1261,microservices architecture
1262,", Docker"
1263,Terraform
1264,software development lifecycles
1265,Comprehensive systems hardware
1266,network troubleshooting experience
1267,NIC bonding and network services configuration
1268,(DNS
1269,NTP
1270,DHCP
1271,SMTP
1272,VMware
1273,Hyper-V
1274,KVM
1275,IaaS
1276,pros
1277,cons
1278,network load balancers
1279,Scripting
1280,python
1281,ruby
1282,at least one major configuration management framework
1283,i.e. Puppet
1284,Ansible
1285,troubleshooting
1286,switches
1287,NMS
1288,estimations
1289,visibility
1290,(ITIL - Problem Management
1291,resiliency
1292,the occurrence
1293,client environments
1294,team mates
1295,microservices architecture
1296,", Docker"
1297,Terraform
1298,software development lifecycles
1299,Comprehensive systems hardware
1300,network troubleshooting experience
1301,NIC bonding and network services configuration
1302,(DNS
1303,NTP
1304,DHCP
1305,SMTP
1306,VMware
1307,Hyper-V
1308,KVM
1309,IaaS
1310,pros
1311,cons
1312,network load balancers
1313,Scripting
1314,python
1315,ruby
1316,at least one major configuration management framework
1317,i.e. Puppet
1318,Ansible
1319,troubleshooting
1320,switches
1321,NMS
1322,estimations
1323,visibility
1324,(ITIL - Problem Management
1325,resiliency
1326,the occurrence
1327,client environments
1328,team mates
1329,microservices architecture
1330,", Docker"
1331,Terraform
1332,software development lifecycles
1333,Comprehensive systems hardware
1334,network troubleshooting experience
1335,NIC bonding and network services configuration
1336,(DNS
1337,NTP
1338,DHCP
1339,SMTP
1340,VMware
1341,Hyper-V
1342,KVM
1343,IaaS
1344,pros
1345,cons
1346,network load balancers
1347,Scripting
1348,python
1349,ruby
1350,at least one major configuration management framework
1351,i.e. Puppet
1352,Ansible
1353,troubleshooting
1354,switches
1355,NMS
1356,estimations
1357,visibility
1358,(ITIL - Problem Management
1359,resiliency
1360,the occurrence
1361,client environments
1362,team mates
1363,microservices architecture
1364,", Docker"
1365,Terraform
1366,software development lifecycles
1367,Comprehensive systems hardware
1368,network troubleshooting experience
1369,NIC bonding and network services configuration
1370,(DNS
1371,NTP
1372,DHCP
1373,SMTP
1374,VMware
1375,Hyper-V
1376,KVM
1377,IaaS
1378,pros
1379,cons
1380,network load balancers
1381,Scripting
1382,python
1383,ruby
1384,at least one major configuration management framework
1385,i.e. Puppet
1386,Ansible
1387,troubleshooting
1388,switches
1389,NMS
1390,estimations
1391,visibility
1392,(ITIL - Problem Management
1393,resiliency
1394,the occurrence
1395,client environments
1396,team mates
1397,microservices architecture
1398,", Docker"
1399,Terraform
1400,software development lifecycles
1401,Comprehensive systems hardware
1402,network troubleshooting experience
1403,NIC bonding and network services configuration
1404,(DNS
1405,NTP
1406,DHCP
1407,SMTP
1408,VMware
1409,Hyper-V
1410,KVM
1411,IaaS
1412,pros
1413,cons
1414,network load balancers
1415,Scripting
1416,python
1417,ruby
1418,at least one major configuration management framework
1419,i.e. Puppet
1420,Ansible
1421,troubleshooting
1422,switches
1423,NMS
1424,estimations
1425,visibility
1426,(ITIL - Problem Management
1427,resiliency
1428,the occurrence
1429,client environments
1430,team mates
1431,microservices architecture
1432,", Docker"
1433,Terraform
1434,software development lifecycles
1435,Comprehensive systems hardware
1436,network troubleshooting experience
1437,NIC bonding and network services configuration
1438,(DNS
1439,NTP
1440,DHCP
1441,SMTP
1442,VMware
1443,Hyper-V
1444,KVM
1445,IaaS
1446,pros
1447,cons
1448,network load balancers
1449,Scripting
1450,python
1451,ruby
1452,at least one major configuration management framework
1453,i.e. Puppet
1454,Ansible
1455,troubleshooting
1456,switches
1457,NMS
1458,estimations
1459,visibility
1460,(ITIL - Problem Management
1461,resiliency
1462,the occurrence
1463,client environments
1464,team mates
1465,microservices architecture
1466,", Docker"
1467,Terraform
1468,software development lifecycles
1469,Comprehensive systems hardware
1470,network troubleshooting experience
1471,NIC bonding and network services configuration
1472,(DNS
1473,NTP
1474,DHCP
1475,SMTP
1476,VMware
1477,Hyper-V
1478,KVM
1479,IaaS
1480,pros
1481,cons
1482,network load balancers
1483,Scripting
1484,python
1485,ruby
1486,at least one major configuration management framework
1487,i.e. Puppet
1488,Ansible
1489,troubleshooting
1490,switches
1491,NMS
1492,estimations
1493,visibility
1494,(ITIL - Problem Management
1495,resiliency
1496,the occurrence
1497,client environments
1498,team mates
1499,microservices architecture
1500,", Docker"
1501,Terraform
1502,software development lifecycles
1503,Comprehensive systems hardware
1504,network troubleshooting experience
1505,NIC bonding and network services configuration
1506,(DNS
1507,NTP
1508,DHCP
1509,SMTP
1510,VMware
1511,Hyper-V
1512,KVM
1513,IaaS
1514,pros
1515,cons
1516,network load balancers
1517,Scripting
1518,python
1519,ruby
1520,at least one major configuration management framework
1521,i.e. Puppet
1522,Ansible
1523,troubleshooting
1524,switches
1525,NMS
1526,estimations
1527,visibility
1528,(ITIL - Problem Management
1529,resiliency
1530,the occurrence
1531,client environments
1532,team mates
1533,microservices architecture
1534,", Docker"
1535,Terraform
1536,software development lifecycles
1537,Comprehensive systems hardware
1538,network troubleshooting experience
1539,NIC bonding and network services configuration
1540,(DNS
1541,NTP
1542,DHCP
1543,SMTP
1544,VMware
1545,Hyper-V
1546,KVM
1547,IaaS
1548,pros
1549,cons
1550,network load balancers
1551,Scripting
1552,python
1553,ruby
1554,at least one major configuration management framework
1555,i.e. Puppet
1556,Ansible
1557,troubleshooting
1558,switches
1559,NMS
1560,estimations
1561,visibility
1562,(ITIL - Problem Management
1563,resiliency
1564,the occurrence
1565,client environments
1566,team mates
1567,microservices architecture
1568,", Docker"
1569,Terraform
1570,software development lifecycles
1571,Comprehensive systems hardware
1572,network troubleshooting experience
1573,NIC bonding and network services configuration
1574,(DNS
1575,NTP
1576,DHCP
1577,SMTP
1578,VMware
1579,Hyper-V
1580,KVM
1581,IaaS
1582,pros
1583,cons
1584,network load balancers
1585,Scripting
1586,python
1587,ruby
1588,at least one major configuration management framework
1589,i.e. Puppet
1590,Ansible
1591,troubleshooting
1592,switches
1593,NMS
1594,estimations
1595,visibility
1596,(ITIL - Problem Management
1597,resiliency
1598,the occurrence
1599,client environments
1600,team mates
1601,microservices architecture
1602,", Docker"
1603,Terraform
1604,software development lifecycles
1605,Comprehensive systems hardware
1606,network troubleshooting experience
1607,NIC bonding and network services configuration
1608,(DNS
1609,NTP
1610,DHCP
1611,SMTP
1612,VMware
1613,Hyper-V
1614,KVM
1615,IaaS
1616,pros
1617,cons
1618,network load balancers
1619,Scripting
1620,python
1621,ruby
1622,at least one major configuration management framework
1623,i.e. Puppet
1624,Ansible
1625,troubleshooting
